CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro (2)/anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc,,,,
Sacramento, I-5 onramp at J and L Streets,CA,USA,2017-02-01,,100,150,200,110,180,Black Lives Matter Sacramento,protest DA's decision not to charge the two officers in the shooting death of an armed man,1,demonstration,0,0,0,0,1,1,http://www.kcra.com/article/i-5-onramp-closed-as-protesters-march-in-downtown-sac/8665720,http://www.abc10.com/news/local/hundreds-protest-da-decision-to-clear-police-in-shooting-death-of-joseph-mann/395555251,,,,,,
Simi Valley,U.S. Rep. Steve Knight’s office in Simi Valley,CA,USA,2017-02-01,,125,125,125,137.5,112.5,general protestors ,appeal to not repeal Obamacare,1,demonstration,0,0,0,0,1,1,http://www.simivalleyacorn.com/news/2017-02-03/Front_Page/Protestors_urge_Knight_to_save_ACA.html,,,,,,,
Storrs,University of Connecticut,CT,USA,2017-02-01,,250,250,250,275,225,In part by Uconn MSA,"end the ""muslim ban""",1,demonstartion,0,0,0,0,1,1,http://www.courant.com/news/connecticut/hc-avon-farmington-valley-muslim-rally-20170201-story.html,http://fox61.com/2017/02/01/hundreds-of-uconn-students-hold-anti-trump-rally/,,,,,,
Storrs,University of Connecticut Campus,CT,USA,2017-02-01,,,,,,,students,support Trump,2,counterprotest,0,0,0,0,1,1,http://fox61.com/2017/02/01/hundreds-of-uconn-students-hold-anti-trump-rally/,http://www.courant.com/news/connecticut/hc-avon-farmington-valley-muslim-rally-20170201-story.html,,,,,,
West Hartford,West Hartford Town Hall,CT,USA,2017-02-01,,1100,1150,1200,1210,1080,general protestors,end immigration ban,1,demonstration,0,0,0,0,1,1,,http://we-ha.com/west-hartford-rallies-immigrant-refugee-rights/,,,,,,
Dover,Legislative Hall,DE,USA,2017-02-01,,35,37.5,40,38.5,36,Civil Rights Coalition,immigration ban,1,rally,0,0,0,0,1,1,http://www.delawareonline.com/story/news/local/2017/02/01/delaware-civil-rights-coalition-speaks-out-against-trump/97352416/,,,,,,,
Smyrna,Smyrna area prison,DE,USA,2017-02-01,,40,40,40,44,36,prison inmates,protesting trump and the rehabilitation/education system,1,standoff,,,1,0,1,1,http://www.delawareonline.com/story/news/2017/02/01/hostage-takers-call-demands-news-journal/97365760/,http://www.cnn.com/2017/02/02/us/delaware-prison-standoff/,,,,,,
Honolulu,outside Federal Building,HI,USA,2017-02-01,,,,,,,general protestors,support Muslim Americans; protest immigration ban,1,demonstration,0,0,0,0,1,1,http://www.kitv.com/story/34406352/hawaii-community-groups-attorneys-oppose-trumps-travel-ban,,,,,,,
Manhattan,Kansas State University,KS,USA,2017-02-01,,50,125,200,55,180,General protestors and students,Protest immigrant ban,1,demonstration,0,0,0,0,1,1,approximation from photo,http://themercury.com/articles/k-state-students-others-protest-trumps-orders,http://www.kstatecollegian.com/2017/02/02/muslim-solidarity-rally-turns-into-march-on-anderson-avenue/,,,,,
Boston,Boston Common,MA,USA,2017-02-01,,200,200,200,220,180,Safe Communities Act Coalition ,immigration ban,1,demonstration,0,0,0,0,1,1,http://wwlp.com/2017/02/01/rally-held-on-boston-common-for-safe-communities-act/,http://dailyfreepress.com/2017/02/02/hundreds-gather-boston-common-support-mass-safe-communities-act/,,,,,,
Worcester,outside City Hall,MA,USA,2017-02-01,,200,200,200,220,180,General protest,immigration policy,1,demonstration,0,0,0,0,1,1,https://worcestermag.com/2017/02/01/pre-city-council-protest-draws-large-pro-immigration-crowd/49050,,,,,,,
Dover,Legislative Hall,MD,USA,2017-02-01,,37,37,37,40.7,33.3,general protestors,immigration ban,1,demonstraton,0,0,0,0,1,1,http://www.delawareonline.com/story/news/local/2017/02/01/delaware-civil-rights-coalition-speaks-out-against-trump/97352416/,,,,,,,
