CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Albany,Gov's mansion,NY,US,2018-01-01,dozens,24,,24,,,Citizen Action,Rallying for better school funding,0,,rally,0,0,0,0,1,1,http://wnyt.com/news/protesters-governors-mansion-albany/4726750/?cat=10114&utm_content=buffer54c48&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,,,,,,,
Buffalo,,NY,US,2018-01-01,,,,,,,general protestors,Rallying for justice in unsolved murder case,0,,rally,0,0,0,0,1,1,http://wivb.com/2018/01/04/family-of-murdered-man-holds-vigil-while-seeking-justice-a-year-later/,,,,,,,
Johnstown,Central Park,PA,US,2018-01-01,,,,,,,general protestors,Rallying against violence,0,,rally,0,0,0,0,1,1,http://wjactv.com/news/local/peace-rally-held-in-johnstown-for-no-killings-in-2018,,,,,,,
Lynchburg,City Hall,VA,US,2018-01-01,roughly 50,50,,50,,,general protestors,Rallying against violence,0,,rally,0,0,0,0,1,1,http://www.newsadvance.com/news/local/unity-in-community-prayer-vigil-brings-together-leaders/article_6d0ceeef-a088-5c18-95e9-db92494c419b.html,,,,,,,
Miami,Arcola Park to Missionary Baptist Church,FL,US,2018-01-01,dozens,24,,24,,,general protestors,Protesting gun violence,0,,protest; march,0,0,0,0,1,1,http://miami.cbslocal.com/2018/01/01/community-gathers-march-vigil-gun-violence/,,,,,,,
New York,3rd Ave.,NY,US,2018-01-01,FB: 54,54,,54,,,Food & Water Watch - New York,Protesting potential cuts to the EPA,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/148639212421714/,,,,,,,
Oakland ,,CA,US,2018-01-01,,,,,,,general protestors,Protesting police brutality,0,,protest,0,0,0,0,1,1,http://www.ktvu.com/news/oscar-grants-mother-holds-annual-vigil-on-9th-anniversary-of-sons-death,,,,,,,
Palm Beach,Flagler Rd.,FL,US,2018-01-01,FB: 7,7,,7,,,Pop-Up Protest South Florida,Protesting Trump,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/547580325578809/,,,,,,,
Pasadena,Colorado Blvd.,CA,US,2018-01-01,about 200,200,,200,,,The People for Bernie Sanders,Rallying for universal healthcare,1,,rally,0,0,0,0,1,1,https://www.pasadenastarnews.com/2018/01/01/the-parade-after-the-rose-parade-about-200-march-for-universal-health-care-after-rose-parade/,,,,,,,
Bakersfield,,CA,US,2018-01-02,,,,,,,general protestors,Rallying for LGBT rights,1,,rally,0,0,0,0,1,1,http://bakersfieldnow.com/news/local/candlelight-vigil-for-jai-bornstein,,,,,,,
Albany,capitol,NY,US,2018-01-02,,,,,,,Social Welfare Groups,Voice Preffered Legislative Agenda,0,,protest,0,0,0,0,1,1,http://www.timesunion.com/local/article/headline-here-please-thank-you-12469296.php#photo-14782731,,,,,,,
Clinton,County Democratic HQ,IA,US,2018-01-02,,,,,,,Nate Boulton gubernatorial campaign,Campaign rally,1,,rally,0,0,0,0,1,1,http://www.clintonherald.com/news/local_news/democrats-rally-for-boulton/article_b1ec03bc-b0af-531a-a5f7-413b676c0163.html,,,,,,,
Eugene,Federal Courthouse,OR,US,2018-01-02,FB: 59,59,,59,,,Indivisible Eugene,Protesting Trump,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1579161748833866/,,,,,,,
Frankfort,State Capitol,KY,US,2018-01-02,more than 50,50,,50,,,Kentucky Association of State Employees,Protesting proposed pension cuts,0,,protest,0,0,0,0,1,1,http://www.wkyt.com/content/news/State-employees-rally-to-fight-for-workers-rights-467774923.html,http://www.wdrb.com/story/37176436/school-group-wants-districts-to-send-workers-to-capitol-during-session,,,,,,
Kansas City,Local elementary school,MO,US,2018-01-02,,,,,,,general protestors,Rallying against domestic violence,0,,rally,0,0,0,0,1,1,http://fox4kc.com/2018/01/12/at-vigil-friends-and-family-of-19-year-old-murdered-by-ex-boyfriend-speak-out-against-domestic-violence/,,,,,,,
Las Vegas,Sen. Heller's office,NV,US,2018-01-02,FB: 4,4,,4,,,Highway to Hell'r,Protesting Trump administration  ,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/158499031441784/,,,,,,,
Portland,SW Slamon St.,OR,US,2018-01-02,FB: 59,59,,59,,,Indivisible Oregon,Protesting Trump administration,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/135428027132530/,,,,,,,
Raleigh,New Bern Ave,NC,US,2018-01-02,FB: 10,10,,10,,,Tuesdays with Tillis,Protesting GOP Tax Bill,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/523726534671367/,,,,,,,
Watertown,,CT,US,2018-01-02,,1,,1,,,councilor Caroline Bays,Kneeling protest for social justice,0,,protest,0,0,0,0,1,1,http://watertown.wickedlocal.com/news/20180103/watertown-town-councilor-takes-knee-during-pledge-of-allegiance,,,,,,,
Yuba County,Capitol,CA,US,2018-01-02,more than 30,30,,30,,,general protestors,Protest hazards of illegal marijuana,0,,Protest,0,0,0,0,1,1,http://www.appeal-democrat.com/news/illegal-grow-hazards-called-out-of-control-at-capitol-rally/article_561a3b48-f041-11e7-9621-bfa195bdd456.html,,,,,,,
Albany,Empire State Plaza,NY,US,2018-01-03,FB: 12,12,,12,,,Protect Orange County,Protesting Millenium Pipeline,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/1072064309603215/,,,,,,,
Albany,Empire State Plaza,NY,US,2018-01-03,FB: 52,52,,52,,,Housing Justice For all,Protesting Gov. Cuomo; lack of housing rights/availability,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/102200703904287/,,,,,,,
Carson City,State Capitol,NV,US,2018-01-03,about a dozen,12,,12,,,general protestors,Protesting sale of horse range to private owners,0,,protest,0,0,0,0,1,1,http://www.kolotv.com/content/news/Wild-horse-advocates-protest-private-sale-of-Virginia-Range-Herd-467932313.html,,,,,,,
Culpeper,County Board of Supervisors meeting,VA,US,2018-01-03,about 70,70,,70,,,general protestors,Protesting sherriff office's decision to partner with ICE,1,,protest,0,0,0,0,1,1,http://www.starexponent.com/news/local-latinos-show-up-again-to-protest-g-in-culpeper/article_2ba80156-feec-55e0-a87f-b971889fdc2b.html,,,,,,,
Georgetown,Government offices,DE,US,2018-01-03,dozens,24,,24,,,Local labor union members,Protesting right to work lower wages,0,,protest,0,0,0,0,1,1,http://dailysignal.com/2018/01/03/delaware-county-stalls-right-to-work-vote-as-unions-protest/,,,,,,,
Indiannapolis,Statehouse,IN,US,2018-01-03,,,,,,,general protestors,Rallying in support of medical marijuana,1,,rally,0,0,0,0,1,1,https://www.wthr.com/article/supporters-of-medical-marijuana-rally-at-the-statehouse,,,,,,,
Iowa Park,Allred Unit,TX,US,2018-01-03,na,37,,37,,,Inmates,Protesting for better conditions and food quality,0,,hunger strike,0,0,0,0,1,1,http://www.newschannel6now.com/story/37185009/37-allred-inmates-refusing-meals-due-to-conditions-at-prison,,,,,,,
Los Angeles,,CA,US,2018-01-03,,,,,,,general protestors,Protesting in support of January Iranian protests,0,,protest,0,0,0,0,1,1,https://www.reuters.com/article/us-iran-rallies-los-angeles/los-angeles-large-iranian-community-cheers-anti-regime-protests-idUSKBN1ET0BN,,,,,,,
New York,Times Square,NY,US,2018-01-03,FB: 48,48,,48,,,Rise and Resist,Protesting any attempts by Trump to interefere in Russia investigation,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/765193630355760/,,,,,,,
Providence,Statehouse,RI,US,2018-01-03,,,,,,,Rhode Island Interfaith Coalition,Rallying against poverty,0,,rally,0,0,0,0,1,1,http://www.providencejournal.com/news/20180103/interfaith-vigil-at-ri-state-house-puts-focus-on-helping-poor,,,,,,,
San Francisco,Twitter HQ,CA,US,2018-01-03,,,,,,,Resistance SF,Protesting Twitter CEO's pro-Trump comments,1,,protest,0,0,0,0,1,1,https://www.facebook.com/events/328953757620474/,,,,,,,
San Francisco,U.S. Sen. Feinstein's office,CA,US,2018-01-03,photo: dozens,24,,24,,,general protestors,Protesting Trump's decisiont to end DACA; rallying for Dreamers,1,,rally,0,0,0,0,0,1,https://theblast.com/alyssa-milano-protests-dream-act/,,,,,,,
St. Louis,State Capitol,MO,US,2018-01-03,NA,1,,1,,,Rep. Bruce Franks Jr.,Protesting racial inequality,1,,protest,0,0,0,0,1,1,http://dailycaller.com/2018/01/03/democratic-lawmaker-protests-during-pledge-of-allegiance/,,,,,,,
Albany,CSX ,NY,US,2018-01-03,dozens,24,,24,,,Fired employees,Protesting firiing for using sick days over holiday,0,,protest,0,0,0,0,1,1,http://wnyt.com/news/csx-employees-job-loss-sick-leave-protest/4730395/,,,,,,,
Charlotte,Romare Bearden Park to Mecklenberg County Courthouse,NC,US,2018-01-04,about three dozen; dozens,24,,36,,,general protestors,Protesting political gerrymandering,0,,protest,0,0,0,0,1,1,http://wfae.org/post/silent-marchers-protest-plan-they-call-judicial-gerrymandering,http://www.independenttribune.com/news/local-group-hopes-march-against-gerrymandering/article_caca8a00-f7db-11e7-8c37-afd0d7473b57.html,,,,,,
Columbus,,GA,US,2018-01-04,,,,,,,general protestors,Protesting police excessive use of force in shooting of local man,0,,protest,0,0,0,0,1,1,http://www.wtvm.com/story/37196418/candlelight-vigil-held-for-columbus-man-killed-in-trooper-involved-shooting,,,,,,,
Frankfort,Capitol Ave.,KY,US,2018-01-04,FB: 216,216,,216,,,"ACLU of Kentucky, Planned Parenthood Advocates, the Kentucky Health Justice Network",Pro- Reproductive Rights Rally,0,,rally,0,0,0,0,1,1,https://www.facebook.com/events/1227293130748169/,,,,,,,
Los Angeles,Hall of Justice,CA,US,2018-01-04,FB: 69,69,,69,,,White People 4 Black Lives,Protesting police brutality,0,,protest,0,0,0,0,1,1,https://www.facebook.com/events/2000584226929458/,,,,,,,
