CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),Women's?,EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,,
Anacortes,Depot Arts Center,WA,US,2018-01-19,FB: 165,165,,165,,,general protestors,Empower Voters to Support Womens's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1399912763452329/,,,,,,,
Adrian,Old Courthouse,MI,US,2018-01-20,250,250,,250,,,Lenawee Indivisible,Empower Voters to Support Women's Rights,1,1,protest,0,0,0,0,1,1,https://actionnetwork.org/events/adrian-mi-womens-march-2018-power-to-the-polls,https://www.facebook.com/events/544708952556798/,http://www.lenconnect.com/news/20180121/womens-march-brings-250-to-old-lenawee-county-courthouse,,,,,
Alameda,Park St. and Santa Clara Ave.,CA,US,2018-01-20,,,,,,,Alameda Progressives,Empower Voters to Support Women's Rights,1,1,march; rally,0,0,0,0,1,1,https://actionnetwork.org/events/solidarity-womens-march-alameda,,,,,,,
Albany,West Capitol Park,NY,US,2018-01-20,thousands,2000,,2000,,,NY19Speaks; Citizen Action of New York,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://www.facebook.com/events/159662234765764/,https://www.timesunion.com/news/article/A-year-later-protesters-return-to-the-streets-12512424.php,,,,,,
Albany,Linn County Courthouse,OR,US,2018-01-20,200,200,,200,,,Rural Oregon Progressives; Albany Region Indivisible,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,http://democratherald.com/news/local/political-action-marks-second-year-for-women-s-rally/article_0efd4203-00c4-56c2-9b1a-b0afd2a23d32.html,,,,,,,
Amarillo,Elwood Park,TX,US,2018-01-20,about 200; na,200,,250,,,Indivisible Amarillo,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,https://actionnetwork.org/events/the-peoples-march-hear-our-voices,http://www.newschannel10.com/story/37312386/amarillo-womens-march,https://twitter.com/Brookslei/status/955098008412147717,,,,,
Anchorage,Delany Park,AK,US,2018-01-20,hundreds; FB: 784,200,,784,,,Women's March on Anchorage,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/241786706357585/,http://www.ktva.com/story/37311184/anchorage-hosts-2018-womens-march-amid-protests-nationwide,,,,,,
Ann Arbor,Diag; University of Michigan,MI,US,2018-01-20,more than 3000; approx 4000,3000,,4000,,,Progressives at the University of Michigan,Empower Voters to Support Women's Rights,1,1,march,0,0,0,0,1,1,http://www.mlive.com/news/ann-arbor/index.ssf/2018/01/more_than_3000_rally_at_womens.html,https://www.michigandaily.com/section/campus-life/thousands-gather-diag-second-annual-womens-march,,,,,,
Annapolis,Lawyer's Park,MD,US,2018-01-20,hundreds,200,,200,,,March On Maryland,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/136570970211321/,http://www.baltimoresun.com/ac-cn-annapolis-womens-march-0121-story.html,,,,,,
Asheville,Roger McQuire Green,NC,US,2018-01-20,about 3000,3000,,3000,,,Women's March on Asheville,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/events/408751532894308/,http://www.citizen-times.com/story/news/local/2018/01/20/womens-march-asheville-2018/1051074001/,,,,,,
Aspen,Community Ski Lap at Gondola Plaza,CO,US,2018-01-20,,,,,,,Aspen Ski and March,Empower Voters to Support Women's Rights,1,1,March,0,0,0,0,1,1,https://www.facebook.com/photo.php?fbid=10213956978293030&set=gm.409990206098656&type=3&theater&ifg=1,,,,,,,
Athens,First United Methodist Church,OH,US,2018-01-20,About 200 ,200,,200,,,general protestors,Empower Voters to Support Women's Rights,1,1,march; rally,0,0,0,0,1,1,https://actionnetwork.org/events/womens-march-athens-2018,http://www.thepostathens.com/article/2018/01/womens-march-athens-ohio,https://www.athensnews.com/women-and-others-march-in-protest/collection_f80bcd24-fe40-11e7-8c14-cf6c68494961.html#20,,,,,
