Actor,Claim,ProAnti,BestGuess,DateTime,Day,City/Town,StateTerritory
United Fort Worth,Protesting TX's anti-sanctuary city bill,1.0,400.0,2017-08-01,181,Fort Worth,TX
general protestors,Counter-protest; supporting TX's anti-sanctuary city bill,2.0,2.0,2017-08-01,181,Fort Worth,TX
Action NC,Oppose investment in detention and immigration enforcement,1.0,20.0,2017-08-02,182,Charlotte,NC
One Pennsylvania; PA 12 for Progress; general protestors,Demanding representative to not support a federal budget that increases funding for immigration enforcement,1.0,12.0,2017-08-02,182,Pittsburgh,PA
general protestors,Oppose Trump administration's immigration policy,1.0,200.0,2017-08-02,182,Wyomissing,PA
general protestors,Rally for an undocumented Meriden man looking to fight a deportation order,1.0,22.5,2017-08-03,183,Hartford,CT
Tennessee Immigrant and Refugee Rights Coalition,Urge Vice President Pence to support the DACA program,1.0,200.0,2017-08-03,183,Nashville,TN
FaithAction International House,fifth annual Downtown Unity Walk for Immigration Reform,1.0,200.0,2017-08-05,185,Greensboro,NC
community members, anti-deportation,0.0,250.0,2017-08-07,187,Norwalk,CT
general protestors,Oppose deportation of long-time Ann Arbor resident,1.0,37.5,2017-08-08,188,Detroit,MI
NJ Working Families Alliance; Make the Road NJ; Action Together New Jersey; Food and Water Watch -- NJ ,Oppose congressman's vote for funding a U.S.-Mexico border wall,1.0,15.0,2017-08-08,188,Glen Rock,NJ
general protestors,against deportation; against TX AG Paxton's policy,1.0,15.0,2017-08-08,188,Houston,TX
general protestors,Support undocumented immigrant who chose sanctuary over deportation,1.0,37.5,2017-08-08,188,New Haven,CT
Centro Presente; Brazilian Worker Center,Oppose Governor Baker's bill authorizing state and local cooperation with ICE,1.0,24.0,2017-08-09,189,Boston,MA
general protestors,Oppose Governor Baker's bill authorizing state and local cooperation with ICE,1.0,100.0,2017-08-09,189,Springfield,MA
general protestors,protest Meehan's voting record on immigration,0.0,12.0,2017-08-09,189,Springfield,PA
Houston Socialist Movement; New Black Panther Party,Opposing TX's SB4; rallying for immigrants,1.0,50.0,2017-08-12,192,Houston,TX
